<shipment>.  (a box), - bunch of pieces,,,,,,,,,,,,,,,,,,,,,,,,
,XML Field,Type,CBS Storage IGNORE,Classify Storage - USE,Notes,,,,,,,,,,,,,,,,,,,,
,LOCAL_SHIPMENT_OID_NBR,long,SHIPMENT.OID_NBR,SHIPMENT.LOCAL_SHIPMENT_OID_NBR,PK,,,,,,,,,,,,,,,,,,,,
,AWB_NBR,string,SHIPMENT.TRACKING_NBR,SHIPMENT.AWB_NBR,Also TRACKING_ID_NBR in Classify,,,,,,,,,,,,,,,,,,,,
,BASE_CHARGE_AMT,double,SHIPMENT.BASE_CHARGE_AMT,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,CARGO_DESC,string,SHIPMENT.CARGO_DESC,,No data in prod on both DB (very old in classify ),,,,,,,,,,,,,,,,,,,,
,CARGO_QTY,long,SHIPMENT.CARGO_QTY,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,CARRIAGE_VALUE_AMT,double,SHIPMENT.CARRIAGE_VALUE_AMT,SHIPMENT.CARRIAGE_VALUE_AMT,,,,,,,,,,,,,,,,,,,,,
,CASH_IN_ADVANCE_FLG,string,SHIPMENT.CASH_IN_ADVANCE_FLG,,"very old in classify, but cbs has data",,,,,,,,,,,,,,,,,,,,
,CI_SEQ_NBR,string,SHIPMENT.CI_SEQ_NBR,SHIPMENT.CI_SEQ_NBR,,,,,,,,,,,,,,,,,,,,,
,COMAT_FLG,string,SHIPMENT.COMAT_FLG,SHIPMENT.COMAT_FLG,,,,,,,,,,,,,,,,,,,,,
,CONSOLIDATED_FREIGHT_FLG,string,SHIPMENT.CONSOLIDATED_FREIGHT_FLG,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,CONTAINER_NBR,string,SHIPMENT.CONTAINER_NBR,SHIPMENT.CONTAINER_NBR,,,,,,,,,,,,,,,,,,,,,
,CONTRACT_WGT_TYPE_CD,string,SHIPMENT.CONTRACT_WGT_TYPE_CD,SHIPMENT.CONTRACT_WGT_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,CREATE_DT,date,SHIPMENT.CREATE_DT,SHIPMENT.CREATE_DT,,,,,,,,,,,,,,,,,,,,,
,CSA_FLG,string,SHIPMENT.CSA_FLG,,no data in classify,,,,,,,,,,,,,,,,,,,,
,CUSTOMER_SEQ_NBR,int,SHIPMENT.CUSTOMER_SEQ_NBR,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,CUSTOMS_CLEARANCE_CD,string,SHIPMENT.CUSTOMS_CLEARANCE_CD,SHIPMENT.CUSTOMS_CLEARANCE_CD,,,,,,,,,,,,,,,,,,,,,
,CUSTOMS_CLEARANCE_ENTRY_FLG,string,SHIPMENT.CUSTOMS_CLEARANCE_ENTRY_FLG,SHIPMENT.CUSTOMS_CLEARANCE_ENTRY_FLG,,,,,,,,,,,,,,,,,,,,,
,CUSTOMS_VALUE_AMT,double,SHIPMENT.CUSTOMS_VALUE_AMT,SHIPMENT.CUSTOMS_VALUE_AMT,,,,,,,,,,,,,,,,,,,,,
,DANG_GOODS_CD,string,SHIPMENT.DANG_GOODS_CD,SHIPMENT.DANG_GOODS_CD,,,,,,,,,,,,,,,,,,,,,
,DATA_ENTRY_LOCATION_CD,string,SHIPMENT.DATA_ENTRY_LOCATION_CD,SHIPMENT.DATA_ENTRY_LOCATION_CD,,,,,,,,,,,,,,,,,,,,,
,DELETED_FLG,string,SHIPMENT.DELETED_FLG,SHIPMENT.DELETED_FLG,,,,,,,,,,,,,,,,,,,,,
,DEST_CUSTOMS_CURRENCY_CD,string,SHIPMENT.DEST_CUSTOMS_CURRENCY_CD,,no data in classify,,,,,,,,,,,,,,,,,,,,
,DEST_CUSTOMS_VALUE_AMT,double,SHIPMENT.DEST_CUSTOMS_VALUE_AMT,SHIPMENT.DEST_CUSTOMS_VALUE_AMT,,,,,,,,,,,,,,,,,,,,,
,DEST_EEC_FLG,string,SHIPMENT.DEST_EEC_FLG,SHIPMENT.DEST_EEC_FLG,,,,,,,,,,,,,,,,,,,,,
,DEST_LOCATION_CD,string,SHIPMENT.DEST_LOCATION_CD,SHIPMENT.DEST_LOCATION_CD,,,,,,,,,,,,,,,,,,,,,
,DEST_LOC_CNTRY_CD,string,SHIPMENT.DEST_LOC_CNTRY_CD,SHIPMENT.DEST_LOC_CNTRY_CD,,,,,,,,,,,,,,,,,,,,,
,DEST_LOC_STATE_CD,string,,,,,,,,,,,,,,,,,,,,,,,
,DIM_HEIGHT_QTY,int,SHIPMENT.DIM_HEIGHT_QTY,SHIPMENT.DIM_HEIGHT_QTY,,,,,,,,,,,,,,,,,,,,,
,DIM_LENGTH_QTY,int,SHIPMENT.DIM_LENGTH_QTY,SHIPMENT.DIM_LENGTH_QTY,,,,,,,,,,,,,,,,,,,,,
,DIM_WGT,double,SHIPMENT.DIM_WGT,SHIPMENT.DIM_WGT,,,,,,,,,,,,,,,,,,,,,
,DIM_WIDTH_QTY,int,SHIPMENT.DIM_WIDTH_QTY,SHIPMENT.DIM_WIDTH_QTY,,,,,,,,,,,,,,,,,,,,,
,DIM_SHIPMENT._FLG,string,SHIPMENT.DIM_SHIPMENT._FLG,,"no data in cbs, in classify populated from UI",,,,,,,,,,,,,,,,,,,,
,DISCHARGE_LOCATION_CD,string,SHIPMENT.DISCHARGE_LOCATION_CD,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,DROP_DSCNT_CD,string,SHIPMENT.DROP_DSCNT_CD,SHIPMENT.DROP_DSCNT_CD,,,,,,,,,,,,,,,,,,,,,
,DUTIABLE_FLG,string,SHIPMENT.DUTIABLE_FLG,SHIPMENT.DUTIABLE_FLG,,,,,,,,,,,,,,,,,,,,,
,DUTY_BILL_TO_ACCT_NBR,int,SHIPMENT.DUTY_BILL_TO_ACCT_NBR,SHIPMENT.DUTY_BILL_TO_ACCT_NBR- condition based,,,,,,,,,,,,,,,,,,,,,
,DUTY_BILL_TO_CD,string,SHIPMENT.DUTY_BILL_TO_CD,SHIPMENT.DUTY_BILL_TO_CD - condition based,,,,,,,,,,,,,,,,,,,,,
,DUTY_CASH_FLG,string,SHIPMENT.DUTY_CASH_FLG,SHIPMENT.DUTY_CASH_FLG,,,,,,,,,,,,,,,,,,,,,
,DUTY_CREDIT_CARD_FLG,string,SHIPMENT.DUTY_CREDIT_CARD_FLG,SHIPMENT.DUTY_CREDIT_CARD_FLG,,,,,,,,,,,,,,,,,,,,,
,ECS_FILING_STATUS_CD,string,SHIPMENT.ECS_FILING_STATUS_CD,SHIPMENT.ECS_FILING_STATUS_CD,,,,,,,,,,,,,,,,,,,,,
,EXPORT_COUNTRY_CD,string,SHIPMENT.EXPORT_COUNTRY_CD,SHIPMENT.EXPORT_COUNTRY_CD,,,,,,,,,,,,,,,,,,,,,
,EXPORT_LICENSE_FLG,string,SHIPMENT.EXPORT_LICENSE_FLG,SHIPMENT.EXPORT_LICENSE_FLG,,,,,,,,,,,,,,,,,,,,,
,FDA_CONFIRMATION_FLG,string,SHIPMENT.FDA_CONFIRMATION_FLG,SHIPMENT.FDA_CONFIRMATION_FLG,,,,,,,,,,,,,,,,,,,,,
,FEDEX_ASSIGNED_MAWB_NBR,string,SHIPMENT.FEDEX_ASSIGNED_MAWB_NBR,SHIPMENT.FEDEX_ASSIGNED_MAWB_NBR,,,,,,,,,,,,,,,,,,,,,
,PLANNED_CLEARANCE_LOCATION_CD,string,SHIPMENT.PLANNED_CLEARANCE_LOC_CD,SHIPMENT.PLANNED_CLEARANCE_LOCATION_CD,,,,,,,,,,,,,,,,,,,,,
,FORM_TYPE_CD,string,SHIPMENT.FORM_TYPE_CD,SHIPMENT.FORM_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,FREE_DOMICILE_CD,string,SHIPMENT.FREE_DOMICILE_CD,SHIPMENT.FREE_DOMICILE_CD,,,,,,,,,,,,,,,,,,,,,
,FREIGHT_CHARGE_AMT,double,SHIPMENT.FREIGHT_CHARGE_AMT,SHIPMENT.FREIGHT_CHARGE_AMT,,,,,,,,,,,,,,,,,,,,,
,FTSR_NBR,int,SHIPMENT.FTSR_NBR,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,GOODS_CLASS_CD,string,SHIPMENT.GOODS_CLASS_CD,SHIPMENT.GOODS_CLASS_CD,,,,,,,,,,,,,,,,,,,,,
,HAL_FLG,string,SHIPMENT.HAL_FLG,SHIPMENT.HAL_FLG,,,,,,,,,,,,,,,,,,,,,
,HAL_PHONE_NBR,string,SHIPMENT.HAL_PHONE_NBR,SHIPMENT.HAL_PHONE_NBR,,,,,,,,,,,,,,,,,,,,,
,HANDLING_UNIT_QTY,int,SHIPMENT.HANDLING_UNIT_QTY,SHIPMENT.HANDLING_UNIT_QTY,,,,,,,,,,,,,,,,,,,,,
,HAWB_SERIAL_NBR,int,SHIPMENT.HAWB_SERIAL_NBR,SHIPMENT.HAWB_SERIAL_NBR,,,,,,,,,,,,,,,,,,,,,
